id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/a547491b-7c3e-49e7-847c-b07ea5ce0000,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/0cfdbfb1-15fe-4e73-a9ac-b946a5c5bcbb,,Illinois,103rd
ocd-vote/508ef77d-7327-4c0b-8422-951fa961e541,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/0ea58fdb-f95b-4859-906f-7b1f4fe922a3,,Illinois,103rd
ocd-vote/86340408-de3a-412b-9cc3-236a74de3920,,Executive Appointments,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/af2d454c-baec-4e7e-9bf8-afe864fe3dd3,,Illinois,103rd
ocd-vote/254962dd-67af-40da-be0b-1ab251a9acfd,,Higher Education,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/834688ea-687b-4e63-81a4-5e7539fd0dff,,Illinois,103rd
ocd-vote/c89572e1-d911-44aa-8229-28dc2d069290,,Health Care Availability & Access,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/dedcd5f3-a724-41cb-86fb-f8ca62415551,,Illinois,103rd
ocd-vote/8ef639ac-1d61-45f5-994d-3934ddc393f4,,Education,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/fca86009-fb95-4064-8c68-b31d8f101be7,,Illinois,103rd
ocd-vote/9955bbb4-3756-4c4f-9052-3d5f28168e92,,Public Health,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/b1f858cd-f270-471a-a4ae-abcf8dbb9306,,Illinois,103rd
ocd-vote/c41aa0ca-9066-4f53-a439-7f11ef81296d,,Energy & Environment,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/f219e341-c352-4ab1-b1f2-8548b514db5c,,Illinois,103rd
ocd-vote/47534f47-a4ba-40e3-99a0-1f140c98db6d,,Higher Education,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/527e9a7e-b10e-41fb-8ec3-b460dcd19c5a,,Illinois,103rd
ocd-vote/83503561-f351-46ab-8b3a-c5d0774f8df4,,Health and Human Services,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/e418d50b-51f8-4353-bb3c-67742a73457a,,Illinois,103rd
ocd-vote/a73df7b9-2261-4728-b7b5-55a4d1a15327,,Higher Education,[],2023-02-21,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/b6810edc-4044-453f-b4c2-6d2b15a2abb1,,Illinois,103rd
