id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/5206b526-153b-47f4-9dcb-3be4b55cc360,SB 1499,PROBATION-EVIDENCE-BASED PRACT,['bill'],[],104th,Illinois,upper
ocd-bill/076a6ecb-6d31-4d11-aa6a-f90150e37238,SB 1518,LIFETIME FISHING LICENSE-VET,['bill'],[],104th,Illinois,upper
ocd-bill/9a94802d-92cf-459a-9262-beb9287fdbe0,SB 1578,VEH CD-LOCAL ORDINANCE-FINES,['bill'],[],104th,Illinois,upper
ocd-bill/16c822a3-dfb9-45b6-9c25-d59e4e339faa,SB 223,CD CORR-DOC SAFETY COMMITTEE,['bill'],[],104th,Illinois,upper
ocd-bill/db0a058d-0c6d-4e70-9db1-c7c1772e4d50,SB 258,PERSONNEL CD-MERIT STANDARD,['bill'],[],104th,Illinois,upper
ocd-bill/20404efa-1422-4163-828c-074e84cec017,SB 132,PLASTIC BOTTLE CAP REDUCTION,['bill'],[],104th,Illinois,upper
ocd-bill/57a49ca9-d20c-4ba7-8990-90f52664d82c,SB 219,INC TX-POLICE OVERTIME,['bill'],[],104th,Illinois,upper
ocd-bill/f8471eef-867f-4e6a-96a0-c5c524265ee5,SB 256,WILDLIFE CD-KILLING CONTESTS,['bill'],[],104th,Illinois,upper
ocd-bill/8102bb91-290b-48c8-afdc-a397236f6ac9,SB 249,EVA CARROLL MONROE DAY,['bill'],[],104th,Illinois,upper
ocd-bill/c63912f8-6ae7-42aa-a72d-2e66b37e8b56,SB 222,DAYCARE-CONDITIONAL EMPLOYEE,['bill'],[],104th,Illinois,upper
ocd-bill/4cfdada7-5f4e-47b7-b5cd-f60ad9a4042d,SB 234,CRIM CD-VIOL ORDERS OF PROTECT,['bill'],[],104th,Illinois,upper
ocd-bill/15455c3e-9b48-4e59-b517-7d9232ce1930,HB 1569,MEDICALLY NECESSARY VACCINE,['bill'],[],104th,Illinois,lower
ocd-bill/a8b300a8-6ab6-4651-b2f8-1ff78ffdb9ea,SB 230,INS-NONPARTICIPATING PROVIDERS,['bill'],[],104th,Illinois,upper
