id,vote_event_id,option,value
440e1ae4-317d-48aa-afba-656492f43e47,ocd-vote/fedf6622-f171-43bc-950e-3f5273e9d7ff,yes,99
b27a3e7b-db14-4132-81c4-247dcca35148,ocd-vote/6c9c8377-58f1-47d5-8ef8-39224aebcda5,not voting,1
b0c8d465-84ca-41d6-bdc9-406dbee7a757,ocd-vote/6c9c8377-58f1-47d5-8ef8-39224aebcda5,absent,0
54c584ee-2057-4b77-a176-b1802a9b9037,ocd-vote/6c9c8377-58f1-47d5-8ef8-39224aebcda5,excused,0
52b3c82e-9b5b-4e84-9c51-8bf05bc6c66e,ocd-vote/6c9c8377-58f1-47d5-8ef8-39224aebcda5,other,0
18f6b614-4478-4e14-a6c8-3a78bf020cb6,ocd-vote/6c9c8377-58f1-47d5-8ef8-39224aebcda5,no,0
bfb03a18-7688-4edf-ba96-4cee082e4d16,ocd-vote/6c9c8377-58f1-47d5-8ef8-39224aebcda5,yes,58
437f0eb8-f54e-4b6c-842f-81305a8deba3,ocd-vote/fbca3011-4809-49f2-92de-9295aea52fac,absent,0
48ab0c53-fb8e-4ec3-8f40-31e88d5e1ecc,ocd-vote/fbca3011-4809-49f2-92de-9295aea52fac,excused,6
609cb9b5-3377-4085-8d03-07d0c13ee358,ocd-vote/fbca3011-4809-49f2-92de-9295aea52fac,other,0
4bf9b3d1-67f7-49cc-a7b5-102c275e44b3,ocd-vote/fbca3011-4809-49f2-92de-9295aea52fac,no,24
fd4f115e-b691-4fc5-bf96-638eed6f7590,ocd-vote/fbca3011-4809-49f2-92de-9295aea52fac,yes,84
6d580aab-b4a6-4ec0-a7e2-ea74de307a75,ocd-vote/0bd8d9c2-0b00-4a16-95aa-c4cc932aab82,not voting,0
6adb0a00-4c64-42ff-b2a8-6ef51dee89a2,ocd-vote/2e661786-349f-4818-9e4b-d6065b4cd038,not voting,3
fe89ee77-5626-4624-bf10-3243fe780876,ocd-vote/2e661786-349f-4818-9e4b-d6065b4cd038,absent,0
bd7bacb3-72b8-4c36-b58b-798f9d67bb8f,ocd-vote/2e661786-349f-4818-9e4b-d6065b4cd038,excused,0
c978395d-f543-4416-a6e8-99b43c60b51e,ocd-vote/2e661786-349f-4818-9e4b-d6065b4cd038,other,0
cbbef88b-58d1-45ca-b03d-8b774ec834ca,ocd-vote/2e661786-349f-4818-9e4b-d6065b4cd038,no,0
855cd49e-d981-45d8-a542-4ccc2777abbb,ocd-vote/2e661786-349f-4818-9e4b-d6065b4cd038,yes,56
20b6b689-72c0-47d9-86f8-ba07d75ce332,ocd-vote/692db0ca-1f4b-430c-914c-3200a2fca244,not voting,3
d9130b1d-95c5-466f-9622-466c76dec168,ocd-vote/692db0ca-1f4b-430c-914c-3200a2fca244,absent,0
2b083c99-27e5-4171-bc8a-b0f370d54ae6,ocd-vote/692db0ca-1f4b-430c-914c-3200a2fca244,excused,0
cabb12d2-46c4-4f06-be6d-3029e6cf9352,ocd-vote/692db0ca-1f4b-430c-914c-3200a2fca244,other,0
636e3052-7151-488c-b3ae-1032e7613fd7,ocd-vote/c8850882-93b2-426f-bc53-22566a50f333,not voting,6
e1c49fb4-dfec-4447-a979-5d6d28779ab7,ocd-vote/c8850882-93b2-426f-bc53-22566a50f333,absent,0
b41a6a04-e4cd-4f3e-8f86-14b2a2616e8e,ocd-vote/c8850882-93b2-426f-bc53-22566a50f333,excused,11
17cccd4f-6874-4917-bc9e-6fffb0afc5db,ocd-vote/c8850882-93b2-426f-bc53-22566a50f333,other,0
a3f1bb69-0663-4c33-80d1-dfee364e0095,ocd-vote/c8850882-93b2-426f-bc53-22566a50f333,no,12
7e5d9d54-3b67-48ff-9aa9-8baa58543cea,ocd-vote/c8850882-93b2-426f-bc53-22566a50f333,yes,89
1e7257ed-8b1b-4730-8340-e0a5f6aef7fa,ocd-vote/0bd8d9c2-0b00-4a16-95aa-c4cc932aab82,absent,0
56c58074-befa-4e49-a38c-142f29f4d08a,ocd-vote/0bd8d9c2-0b00-4a16-95aa-c4cc932aab82,excused,4
fe87778f-d484-4b25-a9a8-486acdcff759,ocd-vote/0bd8d9c2-0b00-4a16-95aa-c4cc932aab82,other,0
b0517d88-4560-4a30-959a-d25a47c1d879,ocd-vote/0bd8d9c2-0b00-4a16-95aa-c4cc932aab82,no,0
a8cc63af-c3d0-4bff-b9ce-c28242b0b39f,ocd-vote/0bd8d9c2-0b00-4a16-95aa-c4cc932aab82,yes,114
77e6d807-ead8-42a6-b3fb-9982e56e8b76,ocd-vote/d4e69699-6486-46e9-9a76-bd6f88c5999d,not voting,2
1d44d3f8-0ebf-4cc2-a1c9-83149c2b0f7d,ocd-vote/3327ccb2-1f55-4955-bd5d-4a63bcee531f,not voting,5
f019a731-9342-4b70-92ab-805ca83d8510,ocd-vote/3327ccb2-1f55-4955-bd5d-4a63bcee531f,absent,0
04e99295-cebb-406a-9cb7-872637313022,ocd-vote/3327ccb2-1f55-4955-bd5d-4a63bcee531f,excused,0
f2f29373-fcff-4d49-bcaa-e688c05ba6b7,ocd-vote/3327ccb2-1f55-4955-bd5d-4a63bcee531f,other,0
ed9e05e7-14b9-41dd-a6c1-aff414ec28bd,ocd-vote/3327ccb2-1f55-4955-bd5d-4a63bcee531f,no,0
ae0be9aa-2a62-4fa1-8971-b5d37df7d02c,ocd-vote/3327ccb2-1f55-4955-bd5d-4a63bcee531f,yes,54
ae65d62a-da9c-4c63-beb4-28344703990e,ocd-vote/115f10be-d312-4752-93e3-2b73cdc271b9,not voting,7
ca27ce29-64ae-477b-9bf7-3d422dc3aac9,ocd-vote/115f10be-d312-4752-93e3-2b73cdc271b9,absent,0
930027b8-7640-427b-b73e-8d6514deb90f,ocd-vote/115f10be-d312-4752-93e3-2b73cdc271b9,excused,0
1d8f207d-0937-4d21-ba3a-660ae29e9f19,ocd-vote/115f10be-d312-4752-93e3-2b73cdc271b9,other,0
29b7e3e4-03d0-4247-bc69-276fde105b4c,ocd-vote/115f10be-d312-4752-93e3-2b73cdc271b9,no,0
90fc1025-4657-4f6b-b892-faba7137271e,ocd-vote/115f10be-d312-4752-93e3-2b73cdc271b9,yes,52
